Name,Status,Population Census 1990,Population Census 2000,Population Census 2010,Population Census 2015,Population Census 2020
Santa Monica ( Sapao ),Municipality,"7,167","7,757","8,715","8,808","9,423"
Sison,Municipality,"8,269","10,046","11,377","13,155","14,290"
Socorro,Municipality,"14,179","17,932","20,304","22,314","25,942"
Surigao,City,"100,379","118,534","140,540","154,137","171,107"
Tagana-an,Municipality,"11,585","12,844","15,366","16,428","17,323"
Tubod,Municipality,"11,194","10,923","12,569","14,206","15,043"
Surigao del Sur,Province,"452,098","501,808","561,219","592,250","642,255"
Barobo,Municipality,"32,991","34,558","43,663","49,730","53,146"
Bayabas,Municipality,"6,259","7,706","7,779","8,164","8,979"
Bislig,City,"103,510","97,860","96,578","94,535","99,290"
Cagwait,Municipality,"16,868","18,577","18,899","20,384","21,747"
Cantilan,Municipality,"24,868","26,553","30,231","31,492","34,060"
Carmen,Municipality,"12,693","9,551","10,287","10,347","11,720"
Carrascal,Municipality,"12,693","13,157","16,529","22,479","24,586"
Cortes,Municipality,"13,234","14,825","15,541","15,912","17,924"
Hinatuan,Municipality,"33,307","36,170","38,731","39,842","43,841"
Lanuza,Municipality,"9,051","10,057","11,857","12,001","13,642"
Lianga,Municipality,"24,908","25,014","28,905","29,493","33,869"
Lingig,Municipality,"21,015","26,487","31,544","31,485","35,142"
Madrid,Municipality,"12,977","14,066","14,888","15,223","16,653"
Marihatag,Municipality,"10,663","16,394","17,926","18,518","19,441"
San Agustin,Municipality,"11,982","14,845","20,655","22,779","22,855"
