Name,Status,Population Census 1990,Population Census 2000,PopulationCensus2010-05-01,Population Census 2015,Population Census 2020
Tagudin,Municipality,"29,295","34,427","38,122","39,277","41,538"
Vigan,City,"38,574","45,143","49,747","53,879","53,935"
Isabela,Province,"1,080,341","1,287,575","1,489,645","1,593,566","1,697,050"
Alicia,Municipality,"47,674","57,178","64,687","71,504","73,874"
Angadanan,Municipality,"32,548","36,788","40,143","43,061","44,977"
Aurora,Municipality,"24,903","28,836","33,045","35,017","36,621"
Benito Soliven,Municipality,"20,236","22,192","27,337","29,624","29,752"
Burgos,Municipality,"17,485","20,422","22,521","23,784","26,040"
Cabagan,Municipality,"34,999","41,536","45,732","50,174","53,897"
Cabatuan,Municipality,"26,380","31,659","37,299","39,413","39,990"
Cauayan,City,"83,591","103,952","122,335","129,523","143,403"
Cordon,Municipality,"27,544","35,519","40,877","42,926","46,477"
Delfin Albano (Magsaysay),Municipality,"20,410","23,619","25,422","26,614","29,928"
Dinapigue,Municipality,"2,105","3,171","5,484","5,005","5,821"
Divilacan,Municipality,"2,479","3,413","5,034","5,687","5,827"
Echague,Municipality,"51,916","61,101","74,680","79,094","88,410"
Gamu,Municipality,"19,141","25,901","28,657","29,904","30,655"
Ilagan,City,"99,120","119,990","135,174","145,568","158,218"
Jones,Municipality,"34,373","39,001","44,218","45,666","45,628"
Luna,Municipality,"12,335","14,581","18,091","19,326","20,697"
Maconacon,Municipality,"7,259","3,721","3,615","4,253","3,977"
Mallig,Municipality,"22,060","25,918","28,345","30,459","32,208"
Naguilian,Municipality,"24,131","26,285","29,491","31,902","33,788"
Palanan,Municipality,"11,431","15,317","16,094","17,260","17,684"
Quezon,Municipality,"16,280","20,090","24,522","25,860","27,037"
Quirino,Municipality,"17,070","19,986","22,285","24,501","25,023"
Ramon,Municipality,"33,444","41,441","49,812","52,707","56,523"
Reina Mercedes,Municipality,"17,139","20,353","23,497","26,998","27,900"
Roxas,Municipality,"40,230","48,929","57,699","61,773","65,839"
San Agustin,Municipality,"16,577","19,927","21,797","22,880","22,096"
San Guillermo,Municipality,"10,700","13,338","18,423","20,200","20,915"
San Isidro,Municipality,"14,444","18,603","22,758","24,861","27,044"
San Manuel,Municipality,"24,620","27,059","30,407","31,896","34,085"
San Mariano,Municipality,"36,295","41,309","51,438","55,370","60,124"
San Mateo,Municipality,"48,461","55,068","60,792","64,505","66,663"
San Pablo,Municipality,"16,680","19,090","22,040","25,384","26,320"
Santa Maria,Municipality,"16,767","20,115","22,939","25,382","25,758"
Santiago,City,"90,787","110,531","132,804","134,830","148,580"
Santo Tomas,Municipality,"18,063","21,380","21,688","23,005","24,528"
Tumauini,Municipality,"40,664","50,256","58,463","67,650","70,743"
Kalinga,Province,"137,055","174,023","201,613","212,680","229,570"
Balbalan,Municipality,"10,147","11,934","12,082","12,195","12,914"
Lubuagan,Municipality,"9,189","9,875","9,369","8,733","9,323"
Pasil,Municipality,"7,572","9,360","9,626","9,644","10,577"
Pinukpuk,Municipality,"20,102","26,130","29,596","32,026","34,275"
Rizal (Liwan),Municipality,"10,885","13,652","15,942","17,038","19,554"
Tabuk,City,"57,200","78,633","103,912","110,642","121,033"
Tanudan,Municipality,"9,323","10,275","8,529","9,534","8,746"
Tinglayan,Municipality,"12,637","14,164","12,557","12,868","13,148"
Laguna,Province,"1,370,232","1,965,872","2,669,847","3,035,081","3,382,193"
Alaminos,Municipality,"27,412","36,120","43,526","47,859","51,619"
Bay,Municipality,"32,535","43,762","55,698","62,143","67,182"
Biñan,City,"134,553","201,186","283,396","333,028","407,437"
Cabuyao,City,"66,975","106,630","248,436","308,745","355,330"
Calamba,City,"173,453","281,146","389,377","454,486","539,671"
Calauan,Municipality,"32,736","43,284","74,890","80,453","87,693"
Cavinti,Municipality,"15,131","19,494","20,809","21,702","23,980"
Famy,Municipality,"7,928","10,419","15,021","16,587","16,791"
Kalayaan,Municipality,"13,118","19,580","20,944","23,269","24,755"
Liliw,Municipality,"21,911","27,537","33,851","36,582","39,491"
Los Baños,Municipality,"66,211","82,027","101,884","112,008","115,353"
Luisiana,Municipality,"14,241","17,109","20,148","19,720","20,859"
Lumban,Municipality,"19,773","25,936","29,470","30,652","32,330"
Mabitac,Municipality,"11,444","15,097","18,618","20,530","21,275"
Magdalena,Municipality,"13,450","18,976","22,976","25,266","27,816"
Majayjay,Municipality,"15,875","22,159","26,547","27,792","27,893"
Nagcarlan,Municipality,"37,696","48,727","59,726","63,057","64,866"
Paete,Municipality,"20,579","23,011","23,523","25,096","24,945"
Pagsanjan,Municipality,"25,024","32,622","39,313","42,164","44,327"
Pakil,Municipality,"13,438","18,021","20,822","20,659","23,495"
Pangil,Municipality,"15,212","20,698","23,201","24,274","25,026"
